# --------------------------------------------------------
# Using UniformRandom0:
0 11.6797
0.01 37.2339
0.02 38.0859
0.03 39.3066
0.04 40.5273
0.05 41.5723
0.06 43.2129
0.07 44.4336
0.08 45.4395
0.09 47.5903
0.1 48.0981
0.2 61.5234
0.3 74.9268
0.4 88.7695
0.5 100.586
0.6 112.305
0.7 122.783
0.8 132.451
0.9 144.004
1 153.32
2 164.063
3 174.805
4 185.547
5 201.172
6 223.125
7 242.637
8 262.363
9 282.891
10 300.82
20 485.274
30 674.648
40 867.188
50 1062.5
60 1257.81
70 1453.13
80 1640.63
90 1843.75
100 2041.88
