# --------------------------------------------------------
# Using UniformRandom0:
1 149.414
5 195.312
10 296.875
15 384.766
20 474.688
25 570.313
30 666.758
35 750.235
40 851.563
45 954.766
50 1046.88
55 1148.44
60 1229.77
61 1245.23
62 1273.44
63 1283.91
64 1312.5
65 1341.41
66 1338.05
67 1367.19
68 1382.81
69 1392.19
70 1453.13
71 1467.66
72 1446.33
73 1453.13
74 1453.13
75 1453.13
76 1453.13
77 1460.94
78 1446.33
79 1460.94
80 1460.94
85 1460.94
90 1475.55
95 1461.8
100 1468.75
