# --------------------------------------------------------
# Using UniformRandom2:
0 14
1e-16 84
1e-15 85
1e-14 86
1e-13 85
1e-12 85
1e-11 85
1e-10 85
1e-09 85
1e-08 85
1e-07 89
1e-06 88
1e-05 89
0.0001 96
0.001 116
0.01 156
0.1 156
1 170
10 330
100 1580
1000 1640
10000 1680
100000 1670
1e+06 1670
1e+07 1680
1e+08 1680
1e+09 1680
1e+10 1680
1e+11 1690
1e+12 1670
1e+13 1710
1e+14 1510
1e+15 2070
1e+16 1440
