# --------------------------------------------------------
# Using UniformRandom2:
0 4.21143
0.01 61.0986
0.02 62.6856
0.03 63.4668
0.04 64.5996
0.05 66.0352
0.06 66.9922
0.07 67.7295
0.08 69.6094
0.09 70.3418
0.1 71.7773
0.2 83.4961
0.3 94.2383
0.4 104.492
0.5 114.082
0.6 125
0.7 134.766
0.8 144.004
0.9 151.367
1 157.588
2 169.189
3 179.824
4 193.359
5 208.828
6 228.516
7 247.5
8 267.969
9 286.074
10 305.02
20 488.789
30 681.406
40 872.813
50 1078.13
60 1268.44
70 1461.8
80 1655.16
90 1856.25
100 2051.88
