# --------------------------------------------------------
# Using UniformRandom0:
0 22.6855
0.01 41.9922
0.02 43.2129
0.03 44.8779
0.04 45.6543
0.05 46.1768
0.06 48.0957
0.07 48.8232
0.08 50.7959
0.09 51.7236
0.1 52.6904
0.2 65.918
0.3 78.3105
0.4 90.3955
0.5 102.539
0.6 113.281
0.7 123.047
0.8 131.484
0.9 141.602
1 151.367
2 160.781
3 170.352
4 181.758
5 195.293
6 210.293
7 231.602
8 251.973
9 270.918
10 292.852
12 324.219
13 326.172
14 324.844
15 326.777
16 336.445
17 339.844
18 341.797
19 343.75
20 345.703
30 357.422
40 377.051
50 390.625
60 394.453
70 409.922
80 417.656
90 429.688
100 437.5
200 498.867
300 550.782
400 593.75
500 625
600 664.063
700 695.313
800 722.657
900 746.368
1000 166.992
2000 165.322
3000 166.016
4000 165.322
5000 166.016
6000 166.016
7000 167.676
8000 165.322
9000 166.016
10000 166.016
100000 167.676
900000 165.322
1e+06 166.016
1e+07 166.992
1e+08 166.016
