# --------------------------------------------------------
# Using UniformRandom0:
0 153.32
0.01 119.883
0.1 125
1 154.688
2 177.539
3 197.266
4 216.992
5 238.691
6 260.391
7 280.371
8 305.762
9 329.434
10 203.125
20 189.453
30 184.443
40 178.711
50 175.781
60 173.828
70 172.852
80 171.875
90 171.621
100 168.945
1000 158.555
10000 155.654
100000 155.654
1e+06 156.25
