# --------------------------------------------------------
# Using UniformRandom2:
0 4.29565
0.01 64.4531
0.02 65.918
0.03 68.0566
0.04 71.6016
0.05 71.7188
0.06 72.9883
0.07 73.4766
0.08 75.9473
0.09 77.1484
0.1 79.3994
0.2 95.6738
0.3 111.455
0.4 125.684
0.5 142.031
0.6 157.812
0.7 174.316
0.8 185.547
0.9 199.219
1 210.938
2 271.484
3 332.031
4 390.586
5 453.125
6 511.719
7 574.219
8 626.485
9 691.407
10 750
20 1335.94
30 1960.31
40 2515.63
50 3109.38
60 3687.51
70 4292.5
80 4843.76
90 5437.5
100 6091.57
