# --------------------------------------------------------
# Using UniformRandom1:
0 22.583
0.01 41.9922
0.02 43.2129
0.03 44.4336
0.04 45.6543
0.05 46.1768
0.06 48.0957
0.07 48.8232
0.08 50.7959
0.09 51.7236
0.1 52.6904
0.2 65.918
0.3 79.1016
0.4 90.3955
0.5 102.539
0.6 113.281
0.7 123.047
0.8 131.484
0.9 141.602
1 151.367
2 160.781
3 170.352
4 181.758
5 195.293
6 210.293
7 231.602
8 252.656
9 273.711
10 289.863
12 324.219
13 326.172
14 329.434
15 326.777
16 337.891
17 336.875
18 341.797
19 343.75
20 344.18
30 357.422
40 378.906
50 390.625
60 394.297
70 409.922
80 417.656
90 429.688
100 437.5
200 498.867
300 549.141
400 593.75
500 625
600 664.063
700 695.313
800 722.657
900 750
1000 166.016
2000 166.016
3000 166.992
4000 166.016
5000 166.016
6000 166.016
7000 166.016
8000 167.676
9000 166.992
10000 166.016
100000 166.016
900000 167.676
1e+06 165.322
1e+07 166.016
1e+08 166.016
