# --------------------------------------------------------
# Using UniformRandom0:
0 27.5879
0.01 100.547
0.02 101.563
0.03 101.514
0.04 102.539
0.05 103.447
0.06 103.516
0.07 104.551
0.08 104.492
0.09 104.414
0.1 105.537
0.2 110.469
0.3 114.414
0.4 119.531
0.5 123.291
0.6 125.977
0.7 130.195
0.8 134.141
0.9 137.1
1 141.045
2 171.621
3 197.227
4 222.656
5 245.566
6 271.484
7 296.875
8 320.313
9 347.188
10 369.141
20 607.578
30 843.75
40 1075.08
50 1312.5
60 1554.69
70 1796.88
80 2055.94
90 2272.5
100 2500
