# --------------------------------------------------------
# Using UniformRandom1:
0 13
1e-16 55
1e-15 56
1e-14 57
1e-13 57
1e-12 56
1e-11 57
1e-10 57
1e-09 57
1e-08 56
1e-07 60
1e-06 59
1e-05 59
0.0001 70
0.001 88
0.01 130
0.1 131
1 180
10 450
100 1470
1000 1540
10000 1560
100000 1560
1e+06 1570
1e+07 1570
1e+08 1560
1e+09 1560
1e+10 1570
1e+11 1560
1e+12 1560
1e+13 1590
1e+14 1420
1e+15 1920
1e+16 1350
