# --------------------------------------------------------
# Using UniformRandom1:
0 14.1394
0.01 45.4102
0.02 46.875
0.03 48.3398
0.04 49.8047
0.05 51.2695
0.06 52.7686
0.07 54.1992
0.08 55.7275
0.09 56.5576
0.1 58.6865
0.2 73.9746
0.3 88.4619
0.4 103.516
0.5 118.359
0.6 130.859
0.7 144.99
0.8 156.826
0.9 167.969
1 178.857
2 208.828
3 240.234
4 268.77
5 300.781
6 328.711
7 366.563
8 386.719
9 417.656
10 449.219
20 750
30 1054.69
40 1345.78
50 1467.66
60 1446.33
70 1475.55
80 1468.75
90 1483.44
100 1476.56
1000 1546.56
10000 1554.45
100000 1546.88
1e+06 1546.88
1e+07 1531.41
1e+08 1546.88
