# --------------------------------------------------------
# Using UniformRandom1:
0 32.4707
0.01 106.445
0.02 107.422
0.03 108.496
0.04 108.398
0.05 109.375
0.06 109.248
0.07 110.352
0.08 111.328
0.09 111.182
0.1 112.305
0.2 117.188
0.3 123.291
0.4 128.223
0.5 131.484
0.6 136.719
0.7 141.045
0.8 144.99
0.9 147.461
1 151.367
2 183.594
3 215.156
4 242.637
5 272.227
6 301.816
7 328.125
8 357.422
9 386.641
10 409.922
20 703.125
30 982.266
40 1255.63
50 1546.56
60 1840.78
70 2125
80 2406.25
90 2687.5
100 2968.75
