# --------------------------------------------------------
# Using UniformRandom2:
0 15.9668
0.01 75.1465
0.02 75.7324
0.03 76.2891
0.04 79.2188
0.05 78.5596
0.06 79.4678
0.07 80.7813
0.08 81.7383
0.09 82.6465
0.1 85.3516
0.2 95.4688
0.3 106.689
0.4 116.582
0.5 126.68
0.6 136.777
0.7 149.063
0.8 159.141
0.9 165.938
1 174.297
2 184.688
3 195
4 206.25
5 223.555
6 245.566
7 269.531
8 288.106
9 307.441
10 328.125
20 517.969
30 695.313
40 900.469
50 1078.13
60 1265.63
70 1453.13
80 1577.81
90 1593.75
100 1593.75
1000 1657.03
10000 1655.16
100000 1672.81
1e+06 1671.88
1e+07 1655.16
1e+08 1655.16
