Time = 10.0

Bins,X
33.0,3.33333333333e-07
34.0,3.33333333333e-07
35.0,3.33333333333e-07
36.0,1e-06
37.0,2e-06
38.0,2e-06
39.0,1e-05
40.0,7.66666666667e-06
41.0,1.76666666667e-05
42.0,2.16666666667e-05
43.0,3.63333333333e-05
44.0,4.93333333333e-05
45.0,7.33333333333e-05
46.0,0.000109333333333
47.0,0.00013
48.0,0.000176666666667
49.0,0.00025
50.0,0.000347333333333
51.0,0.000437
52.0,0.000564
53.0,0.000718333333333
54.0,0.000855666666667
55.0,0.00112633333333
56.0,0.00137433333333
57.0,0.001621
58.0,0.00200266666667
59.0,0.002382
60.0,0.00280733333333
61.0,0.003268
62.0,0.003835
63.0,0.00434233333333
64.0,0.004952
65.0,0.00554
66.0,0.00613933333333
67.0,0.0068
68.0,0.00746333333333
69.0,0.00818233333333
70.0,0.00874933333333
71.0,0.00949733333333
72.0,0.0100016666667
73.0,0.010589
74.0,0.0110896666667
75.0,0.0116343333333
76.0,0.012051
77.0,0.0124643333333
78.0,0.0127083333333
79.0,0.013119
80.0,0.013211
81.0,0.0133416666667
82.0,0.013403
83.0,0.0133356666667
84.0,0.0132706666667
85.0,0.01325
86.0,0.0130873333333
87.0,0.0128376666667
88.0,0.0125246666667
89.0,0.012144
90.0,0.011937
91.0,0.0115196666667
92.0,0.011312
93.0,0.0107213333333
94.0,0.0102156666667
95.0,0.009833
96.0,0.00933466666667
97.0,0.00893566666667
98.0,0.00858466666667
99.0,0.00798366666667
100.0,0.00760366666667
101.0,0.00709266666667
102.0,0.00667533333333
103.0,0.00622166666667
104.0,0.00590633333333
105.0,0.00547666666667
106.0,0.005069
107.0,0.00473866666667
108.0,0.00449966666667
109.0,0.00407733333333
110.0,0.00384633333333
111.0,0.00346766666667
112.0,0.00323366666667
113.0,0.003026
114.0,0.002815
115.0,0.00259866666667
116.0,0.002378
117.0,0.002146
118.0,0.00198366666667
119.0,0.00184066666667
120.0,0.001667
121.0,0.00158366666667
122.0,0.00145033333333
123.0,0.001261
124.0,0.00120433333333
125.0,0.00107366666667
126.0,0.001006
127.0,0.00092
128.0,0.000831
129.0,0.000757
130.0,0.000716666666667
131.0,0.000642
132.0,0.000586666666667
133.0,0.000518333333333
134.0,0.000453333333333
135.0,0.000407666666667
136.0,0.000412333333333
137.0,0.000383333333333
138.0,0.000326333333333
139.0,0.000318333333333
140.0,0.000294
141.0,0.000271666666667
142.0,0.000223
143.0,0.000214
144.0,0.000202
145.0,0.000206666666667
146.0,0.000182
