# CompareFileSizeChairTime.dat
100.       886.        0.801354        0.869074        0.688488        1.07223   1.28668   0.891648   1.03047   1.13544   0.997743   0.764108   0.558691
1000.      9382.       7.2799          2.9951          2.70731         1.64144   1.99318   2.25965    1.43818   1.56065   1.16105    0.870816   0.573012
10000.     102836.     79.4761         12.8651         12.6804         1.99347   2.60609   3.52989    1.67906   1.95804   1.35673    1.05711    0.653205
100000.    1063446.    Indeterminate   97.9363         105.892         3.34761   4.05286   6.6576     2.84473   3.04361   1.63229    1.07984    0.72154
1000000.   10842624.   Indeterminate   Indeterminate   Indeterminate   4.05806   4.79589   8.48503    3.33249   3.60301   2.50621    1.51274    1.00556
