# CellXYBinarySearchZCellSizeChairTime.dat
0.125      8.02514   5.54541
0.166625   6.48872   4.54741
0.25       4.83192   3.61856
0.375      4.388     3.80287
0.5        4.46791   4.14965
0.75       5.54374   6.40126
1.         6.43642   8.10254
1.5        9.41404   13.4056
2.         11.4813   17.1579
