# ExecutionTimeRandom4Edges2.dat
# <# vertices> <Dijkstra> <MCC 1> <MCC 3>
100 	0.000189 	0.000160 	0.000156
200 	0.000328 	0.000223 	0.000257
400 	0.000648 	0.000403 	0.000523
800 	0.001428 	0.000811 	0.001104
1600 	0.003303 	0.001654 	0.002633
3200 	0.008315 	0.003947 	0.006524
6400 	0.019915 	0.008741 	0.014892
12800 	0.046142 	0.020638 	0.035258
25600 	0.114490 	0.049006 	0.082550
51200 	0.276572 	0.108326 	0.183037
102400 	0.658373 	0.230709 	0.387564
204800 	1.529108 	0.481374 	0.846012
409600 	3.519202 	1.001418 	1.718279
