# ExecutionTimeRandom4Edges10.dat
# <# vertices> <Dijkstra> <MCC 1> <MCC 3>
100 	0.000203 	0.000194 	0.000172
200 	0.000339 	0.000272 	0.000288
400 	0.000677 	0.000505 	0.000644
800 	0.001486 	0.001091 	0.001376
1600 	0.003426 	0.002327 	0.003349
3200 	0.008701 	0.005724 	0.008013
6400 	0.020811 	0.012473 	0.018428
12800 	0.048199 	0.029786 	0.046702
25600 	0.119065 	0.075818 	0.118647
51200 	0.285978 	0.173837 	0.262328
102400 	0.681781 	0.375085 	0.565621
204800 	1.588284 	0.795375 	1.189126
409600 	3.648657 	1.675291 	2.495097
