#Time "Reaction Count" X  
2.5 618 0 284 334
2.6 618 0 284 334
2.7 618 0 284 334
2.8 618 0 284 334
2.9 618 0 284 334
3.0 618 0 284 334
3.1 618 0 284 334
3.2 618 0 284 334
3.3 618 0 284 334
3.4 618 0 284 334
3.5 618 0 284 334
3.6 618 0 284 334
3.7 618 0 284 334
3.8 618 0 284 334
3.9 618 0 284 334
4.0 618 0 284 334
4.1 618 0 284 334
4.2 618 0 284 334
4.3 618 0 284 334
4.4 618 0 284 334
4.5 618 0 284 334
4.6 618 0 284 334
4.7 618 0 284 334
4.8 618 0 284 334
4.9 618 0 284 334
5.0 618 0 284 334

0.0 0 50 0 0
0.1 78 46 37 41
0.2 138 52 70 68
0.3 207 53 105 102
0.4 277 51 139 138
0.5 343 39 166 177
0.6 399 27 188 211
0.7 442 26 209 233
0.8 483 21 227 256
0.9 505 11 233 272
1.0 521 9 240 281
1.1 533 3 243 290
1.2 539 3 246 293
1.3 548 4 251 297
1.4 556 8 257 299
1.5 562 6 259 303
1.6 571 1 261 310
1.7 572 2 262 310
1.8 576 2 264 312
1.9 579 3 266 313
2.0 588 6 272 316
2.1 599 5 277 322
2.2 602 2 277 325
2.3 605 1 278 327
2.4 608 0 279 329
2.5 608 0 279 329
2.6 608 0 279 329
2.7 608 0 279 329
2.8 608 0 279 329
2.9 608 0 279 329
3.0 608 0 279 329
3.1 608 0 279 329
3.2 608 0 279 329
3.3 608 0 279 329
3.4 608 0 279 329
3.5 608 0 279 329
3.6 608 0 279 329
3.7 608 0 279 329
3.8 608 0 279 329
3.9 608 0 279 329
4.0 608 0 279 329
4.1 608 0 279 329
4.2 608 0 279 329
4.3 608 0 279 329
4.4 608 0 279 329
4.5 608 0 279 329
4.6 608 0 279 329
4.7 608 0 279 329
4.8 608 0 279 329
4.9 608 0 279 329
5.0 608 0 279 329

0.0 0 50 0 0
0.1 59 41 25 34
0.2 113 35 49 64
0.3 165 23 69 96
0.4 200 28 89 111
0.5 245 23 109 136
0.6 274 20 122 152
0.7 304 22 138 166
0.8 348 20 159 189
0.9 381 23 177 204
1.0 411 17 189 222
1.1 445 17 206 239
1.2 465 9 212 253
1.3 478 10 219 259
1.4 492 10 226 266
1.5 514 14 239 275
1.6 546 22 259 287
1.7 568 16 267 301
1.8 591 9 275 316
1.9 613 13 288 325
2.0 635 9 297 338
2.1 649 11 305 344
2.2 662 14 313 349
2.3 677 11 319 358
